record_id,text_annotation,guideline_version,batch_id,data_role
APP_MOCK_001,Chị này đẹp quá,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_002,Béo như heo,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_003,Ủa vậy cũng gọi là đẹp hả?,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_004,Mặt mụn tởm quá,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_005,Xinh theo hệ tâm linh,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_006,Ghê quá,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_007,Đẹp quá 🤡,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_008,Tóc như ổ quạ,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_009,Mlem quá,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_010,"Mặt thì mụn tởm, dáng thì béo như heo",GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_011,Dáng này chắc làm linh vật được,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
APP_MOCK_012,Răng hô quá,GUIDELINE_FROZEN_MOCK_v1,LLM_MOCK_RUN_01,PRODUCTION
